gid	sym
10000	AKT3
101930123	LOC101930123
10488	CREB3
10645	CAMKK2
1080	CFTR
10890	RAB10
10891	PPARGC1A
126129	CPT1C
1374	CPT1A
1375	CPT1B
1385	CREB1
148	ADRA1A
148327	CREB3L4
1938	EEF2
1978	EIF4EBP1
1994	ELAVL1
200186	CRTC2
207	AKT1
208	AKT2
2194	FASN
2203	FBP1
2308	FOXO1
2309	FOXO3
23216	TBC1D1
23411	SIRT1
23417	MLYCD
23533	PIK3R5
2475	MTOR
2538	G6PC
28227	PPP2R3B
29904	EEF2K
2997	GYS1
2998	GYS2
31	ACACA
3156	HMGCR
3172	HNF4A
32	ACACB
3479	IGF1
3480	IGF1R
3630	INS
3643	INSR
3667	IRS1
3952	LEP
3953	LEPR
3991	LIPE
4218	RAB8A
5105	PCK1
5106	PCK2
51094	ADIPOR1
51422	PRKAG2
51552	RAB14
5170	PDPK1
51719	CAB39
5207	PFKFB1
5208	PFKFB2
5209	PFKFB3
5210	PFKFB4
5211	PFKL
5213	PFKM
5214	PFKP
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
53632	PRKAG3
5468	PPARG
55012	PPP2R3C
5515	PPP2CA
5516	PPP2CB
5518	PPP2R1A
5519	PPP2R1B
5520	PPP2R2A
5521	PPP2R2B
5522	PPP2R2C
5523	PPP2R3A
5525	PPP2R5A
5526	PPP2R5B
5527	PPP2R5C
5528	PPP2R5D
5529	PPP2R5E
55437	STRADB
5562	PRKAA1
5563	PRKAA2
5564	PRKAB1
5565	PRKAB2
5571	PRKAG1
55844	PPP2R2D
57521	RPTOR
57818	G6PC2
5862	RAB2A
595	CCND1
6009	RHEB
6198	RPS6KB1
6199	RPS6KB2
6319	SCD
64764	CREB3L2
6517	SLC2A4
6720	SREBF1
6794	STK11
6885	MAP3K7
7248	TSC1
7249	TSC2
79602	ADIPOR2
79966	SCD5
81617	CAB39L
8408	ULK1
84254	CAMKK1
84335	AKT1S1
84699	CREB3L3
8471	IRS4
8503	PIK3R3
8660	IRS2
8789	FBP2
890	CCNA2
8900	CCNA1
90993	CREB3L1
9230	RAB11B
92335	STRADA
92579	G6PC3
9370	ADIPOQ
948	CD36
9586	CREB5
