gid	sym
10000	AKT3
10025	MED16
10231	RCAN2
10499	NCOA2
113026	PLCD3
116931	MED12L
117247	SLC16A10
1387	CREBBP
1499	CTNNB1
1733	DIO1
1734	DIO2
1735	DIO3
1827	RCAN1
2033	EP300
207	AKT1
208	AKT2
2099	ESR1
2308	FOXO1
23236	PLCB1
23389	MED13L
23439	ATP1B4
23533	PIK3R5
2475	MTOR
25942	SIN3A
2626	GATA4
2648	KAT2A
29079	MED4
2932	GSK3B
3065	HDAC1
3066	HDAC2
3091	HIF1A
3265	HRAS
3685	ITGAV
3690	ITGB3
3845	KRAS
4193	MDM2
4609	MYC
4624	MYH6
476	ATP1A1
477	ATP1A2
478	ATP1A3
480	ATP1A4
481	ATP1B1
482	ATP1B2
483	ATP1B3
4851	NOTCH1
4853	NOTCH2
4854	NOTCH3
4855	NOTCH4
486	FXYD2
488	ATP2A2
4893	NRAS
51196	PLCE1
5170	PDPK1
5208	PFKFB2
5214	PFKP
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
5330	PLCB2
5331	PLCB3
5332	PLCB4
5333	PLCD1
5335	PLCG1
5336	PLCG2
5350	PLN
53919	SLCO1C1
54361	WNT4
5469	MED1
5566	PRKACA
5567	PRKACB
5568	PRKACG
5578	PRKCA
5579	PRKCB
5582	PRKCG
5594	MAPK1
5595	MAPK3
5604	MAP2K1
5605	MAP2K2
572	BAD
5894	RAF1
595	CCND1
60	ACTB
6009	RHEB
6256	RXRA
6257	RXRB
6258	RXRG
6513	SLC2A1
652	BMP4
6548	SLC9A1
6567	SLC16A2
6714	SRC
6772	STAT1
7067	THRA
7068	THRB
71	ACTG1
7157	TP53
7249	TSC2
8202	NCOA3
842	CASP9
84812	PLCD4
8503	PIK3R3
8648	NCOA1
8841	HDAC3
8850	KAT2B
89869	PLCZ1
90390	MED30
9282	MED14
9440	MED17
9442	MED27
9611	NCOR1
9862	MED24
9882	TBC1D4
9968	MED12
9969	MED13
