gid	sym
10000	AKT3
10488	CREB3
108	ADCY2
10891	PPARGC1A
126129	CPT1C
1374	CPT1A
1375	CPT1B
1385	CREB1
1386	ATF2
1387	CREBBP
148327	CREB3L4
150094	SIK1
160287	LDHAL6A
163688	CALML6
200186	CRTC2
2033	EP300
207	AKT1
208	AKT2
2203	FBP1
2308	FOXO1
23235	SIK2
23236	PLCB1
23411	SIRT1
2538	G6PC
2641	GCG
2642	GCGR
2645	GCK
2776	GNAQ
2778	GNAS
2997	GYS1
2998	GYS2
31	ACACA
32	ACACB
3276	PRMT1
3708	ITPR1
3709	ITPR2
3710	ITPR3
3939	LDHA
3945	LDHB
3948	LDHC
441531	PGAM4
468	ATF4
5105	PCK1
5106	PCK2
5140	PDE3B
51422	PRKAG2
5160	PDHA1
5161	PDHA2
5162	PDHB
51806	CALML5
5207	PFKFB1
5211	PFKL
5223	PGAM1
5224	PGAM2
5255	PHKA1
5256	PHKA2
5257	PHKB
5260	PHKG1
5261	PHKG2
5315	PKM
5330	PLCB2
5331	PLCB3
5332	PLCB4
53632	PRKAG3
5465	PPARA
5530	PPP3CA
5531	PPP4C
5532	PPP3CB
5533	PPP3CC
5534	PPP3R1
5535	PPP3R2
5562	PRKAA1
5563	PRKAA2
5564	PRKAB1
5565	PRKAB2
5566	PRKACA
5567	PRKACB
55671	PPP4R3A
5568	PRKACG
5571	PRKAG1
57223	PPP4R3B
57818	G6PC2
5834	PYGB
5836	PYGL
5837	PYGM
64764	CREB3L2
6513	SLC2A1
6514	SLC2A2
801	CALM1
805	CALM2
808	CALM3
810	CALML3
815	CAMK2A
816	CAMK2B
817	CAMK2D
818	CAMK2G
84699	CREB3L3
90993	CREB3L1
92483	LDHAL6B
92579	G6PC3
9586	CREB5
