gid	sym
10000	AKT3
1019	CDK4
1021	CDK6
1026	CDKN1A
1029	CDKN2A
163688	CALML6
1869	E2F1
1870	E2F2
1871	E2F3
1950	EGF
1956	EGFR
207	AKT1
208	AKT2
23533	PIK3R5
2475	MTOR
25759	SHC2
2885	GRB2
3265	HRAS
3479	IGF1
3480	IGF1R
369	ARAF
3845	KRAS
399694	SHC4
4193	MDM2
4893	NRAS
5154	PDGFA
5155	PDGFB
5156	PDGFRA
5159	PDGFRB
51806	CALML5
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
5335	PLCG1
53358	SHC3
5336	PLCG2
5578	PRKCA
5579	PRKCB
5582	PRKCG
5594	MAPK1
5595	MAPK3
5604	MAP2K1
5605	MAP2K2
5728	PTEN
5894	RAF1
5925	RB1
595	CCND1
6464	SHC1
6654	SOS1
6655	SOS2
673	BRAF
7039	TGFA
7157	TP53
801	CALM1
805	CALM2
808	CALM3
810	CALML3
815	CAMK2A
816	CAMK2B
817	CAMK2D
818	CAMK2G
8503	PIK3R3
