shape	coords	gid	sym.path.compounds.map
circle	757 410 4	NA	C05981
circle	804 684 4	NA	C00165
circle	851 649 4	NA	C00076
circle	805 649 4	NA	C01245
rect	339 551 385 568	102642252	LOC102642252
rect	339 551 385 568	105243590	LOC105243590
rect	964 640 1010 657	18018	Nfatc1
rect	964 640 1010 657	18019	Nfatc2
rect	889 640 935 657	19055	Ppp3ca
rect	889 640 935 657	19056	Ppp3cb
rect	889 640 935 657	19057	Ppp3cc
rect	889 640 935 657	19058	Ppp3r1
rect	889 640 935 657	19059	Ppp3r2
rect	615 722 661 739	14360	Fyn
rect	1154 802 1200 819	22035	Tnfsf10
rect	264 748 310 765	15979	Ifngr1
rect	264 748 310 765	15980	Ifngr2
rect	716 641 762 658	18803	Plcg1
rect	716 641 762 658	234779	Plcg2
rect	642 640 688 657	16797	Lat
rect	264 937 310 954	18646	Prf1
rect	1159 664 1205 681	15978	Ifng
rect	1159 640 1205 657	12981	Csf2
rect	1159 616 1205 633	21926	Tnf
rect	874 675 920 692	18750	Prkca
rect	874 675 920 692	18751	Prkcb
rect	874 675 920 692	18752	Prkcg
rect	645 374 691 391	24055	Sh3bp2
rect	698 442 744 459	18803	Plcg1
rect	698 442 744 459	234779	Plcg2
rect	640 457 686 474	16797	Lat
rect	657 241 703 258	19229	Ptk2b
rect	640 436 686 453	16822	Lcp2
rect	552 497 598 514	20963	Syk
rect	552 475 598 492	22637	Zap70
rect	562 401 608 418	16818	Lck
rect	585 672 631 689	26904	Sh2d1b1
rect	551 531 597 548	14360	Fyn
rect	530 695 576 712	20400	Sh2d1a
rect	479 629 525 646	23900	Hcst
rect	477 562 523 579	12503	Cd247
rect	477 539 523 556	14127	Fcer1g
rect	477 421 523 438	22177	Tyrobp
rect	501 229 547 246	19247	Ptpn11
rect	501 204 547 221	15170	Ptpn6
rect	339 802 385 819	15962	Ifna1
rect	339 802 385 819	15964	Ifna11
rect	339 802 385 819	15965	Ifna2
rect	339 802 385 819	15967	Ifna4
rect	339 802 385 819	15968	Ifna5
rect	339 802 385 819	15969	Ifna6
rect	339 802 385 819	15970	Ifna7
rect	339 802 385 819	15972	Ifna9
rect	339 802 385 819	15974	Ifnab
rect	339 802 385 819	15977	Ifnb1
rect	339 802 385 819	15978	Ifng
rect	339 802 385 819	230396	Ifna13
rect	339 802 385 819	242517	Ifna15
rect	339 802 385 819	242519	Ifna12
rect	339 802 385 819	404549	Ifna14
rect	46 939 92 956	12122	Bid
rect	46 894 92 911	12367	Casp3
rect	149 916 195 933	14939	Gzmb
rect	264 897 310 914	18646	Prf1
rect	264 855 310 872	14102	Fas
rect	264 829 310 846	21933	Tnfrsf10b
rect	264 694 310 711	12506	Cd48
rect	264 329 310 346	15894	Icam1
rect	264 329 310 346	15896	Icam2
rect	757 485 803 502	18706	Pik3ca
rect	757 485 803 502	18707	Pik3cd
rect	757 485 803 502	18708	Pik3r1
rect	757 485 803 502	18709	Pik3r2
rect	757 485 803 502	18710	Pik3r3
rect	757 485 803 502	30955	Pik3cg
