shape	coords	gid	sym.path.compounds.map
circle	642 30 4	NA	C00951
circle	798 32 4	NA	C00187
circle	452 660 4	NA	C05981
circle	284 1164 4	NA	C00165
circle	284 1202 4	NA	C01245
circle	340 1204 4	NA	C00076
circle	662 1164 4	NA	C00416
circle	988 138 4	NA	C00122
circle	988 184 4	NA	C00149
circle	1758 30 4	NA	C16038
circle	1158 1206 4	NA	C00777
circle	470 28 4	NA	C00535
circle	554 28 4	NA	C03917
circle	356 522 4	NA	C00575
circle	264 810 4	NA	C00165
circle	214 809 4	NA	C01245
circle	213 846 4	NA	C00076
circle	45 693 4	NA	C00752
circle	45 716 4	NA	C00306
circle	45 739 4	NA	C16010
circle	45 521 4	NA	C00584
circle	45 409 4	NA	C00752
circle	45 430 4	NA	C00681
circle	45 453 4	NA	C02135
circle	45 762 4	NA	C02135
rect	110 212 156 229	13176	Dcc
rect	192 180 238 197	12367	Casp3
rect	256 202 302 219	12371	Casp9
rect	392 212 438 229	12367	Casp3
rect	108 306 154 323	12550	Cdh1
rect	154 306 200 323	12387	Ctnnb1
rect	29 377 75 394	20890	Wnt8a
rect	29 377 75 394	216795	Wnt9a
rect	29 377 75 394	22408	Wnt1
rect	29 377 75 394	22409	Wnt10a
rect	29 377 75 394	22410	Wnt10b
rect	29 377 75 394	22411	Wnt11
rect	29 377 75 394	22412	Wnt9b
rect	29 377 75 394	22413	Wnt2
rect	29 377 75 394	22414	Wnt2b
rect	29 377 75 394	22415	Wnt3
rect	29 377 75 394	22416	Wnt3a
rect	29 377 75 394	22417	Wnt4
rect	29 377 75 394	22418	Wnt5a
rect	29 377 75 394	22419	Wnt5b
rect	29 377 75 394	22420	Wnt6
rect	29 377 75 394	22421	Wnt7a
rect	29 377 75 394	22422	Wnt7b
rect	29 377 75 394	22423	Wnt8b
rect	29 377 75 394	93735	Wnt16
rect	168 289 214 306	12385	Ctnna1
rect	168 289 214 306	12386	Ctnna2
rect	168 289 214 306	216033	Ctnna3
rect	366 307 412 324	12387	Ctnnb1
rect	108 602 154 619	16412	Itgb1
rect	427 377 473 394	13542	Dvl1
rect	427 377 473 394	13543	Dvl2
rect	427 377 473 394	13544	Dvl3
rect	29 594 75 611	12826	Col4a1
rect	29 594 75 611	12827	Col4a2
rect	29 594 75 611	12828	Col4a3
rect	29 594 75 611	12829	Col4a4
rect	29 594 75 611	12830	Col4a5
rect	29 594 75 611	14268	Fn1
rect	29 594 75 611	16772	Lama1
rect	29 594 75 611	16773	Lama2
rect	29 594 75 611	16774	Lama3
rect	29 594 75 611	16775	Lama4
rect	29 594 75 611	16776	Lama5
rect	29 594 75 611	16777	Lamb1
rect	29 594 75 611	16779	Lamb2
rect	29 594 75 611	16780	Lamb3
rect	29 594 75 611	16782	Lamc2
rect	29 594 75 611	226519	Lamc1
rect	29 594 75 611	23928	Lamc3
rect	29 594 75 611	94216	Col4a6
rect	108 585 154 602	16398	Itga2
rect	108 585 154 602	16399	Itga2b
rect	108 585 154 602	16400	Itga3
rect	108 585 154 602	16403	Itga6
rect	108 585 154 602	16410	Itgav
rect	288 595 334 612	14083	Ptk2
rect	398 614 444 631	19211	Pten
rect	108 377 154 394	14362	Fzd1
rect	108 377 154 394	14365	Fzd3
rect	108 377 154 394	14366	Fzd4
rect	108 377 154 394	14367	Fzd5
rect	108 377 154 394	14368	Fzd6
rect	108 377 154 394	14369	Fzd7
rect	108 377 154 394	14370	Fzd8
rect	108 377 154 394	14371	Fzd9
rect	108 377 154 394	57265	Fzd2
rect	108 377 154 394	93897	Fzd10
rect	256 220 302 237	72993	Appl1
rect	145 677 191 694	110279	Bcr
rect	145 677 191 694	11350	Abl1
rect	288 660 334 677	12928	Crk
rect	288 660 334 677	12929	Crkl
rect	288 677 334 694	12402	Cbl
rect	288 677 334 694	208650	Cblb
