shape	coords	gid	sym.path.compounds.map
circle	91 856 4	NA	C00031
circle	394 1042 4	NA	C05981
circle	377 356 4	NA	C00008
circle	341 357 4	NA	C00020
circle	596 530 4	NA	C00003
circle	229 582 4	NA	C00076
circle	652 901 4	NA	C00024
circle	787 902 4	NA	C00083
circle	787 951 4	NA	C00040
circle	463 177 4	NA	C00085
circle	602 177 4	NA	C00665
circle	677 124 4	NA	C00354
circle	846 126 4	NA	C00022
circle	403 177 4	NA	C00668
circle	287 177 4	NA	C00031
circle	805 873 4	NA	C00024
circle	919 877 4	NA	C00083
circle	91 947 4	NA	C00162
circle	103 694 4	NA	C00698
circle	73 149 4	NA	C07151
circle	73 168 4	NA	D08351
circle	73 187 4	NA	C00389
circle	73 206 4	NA	C00757
circle	73 225 4	NA	C09731
circle	73 244 4	NA	C04677
rect	424 574 470 591	51422	PRKAG2
rect	424 574 470 591	53632	PRKAG3
rect	424 574 470 591	5562	PRKAA1
rect	424 574 470 591	5563	PRKAA2
rect	424 574 470 591	5564	PRKAB1
rect	424 574 470 591	5565	PRKAB2
rect	424 574 470 591	5571	PRKAG1
rect	69 1034 115 1051	3630	INS
rect	139 1034 185 1051	3643	INSR
rect	518 1034 564 1051	10000	AKT3
rect	518 1034 564 1051	207	AKT1
rect	518 1034 564 1051	208	AKT2
rect	306 1034 352 1051	23533	PIK3R5
rect	306 1034 352 1051	5290	PIK3CA
rect	306 1034 352 1051	5291	PIK3CB
rect	306 1034 352 1051	5293	PIK3CD
rect	306 1034 352 1051	5294	PIK3CG
rect	306 1034 352 1051	5295	PIK3R1
rect	306 1034 352 1051	5296	PIK3R2
rect	306 1034 352 1051	8503	PIK3R3
rect	432 1034 478 1051	5170	PDPK1
rect	226 1034 272 1051	3667	IRS1
rect	226 1034 272 1051	8471	IRS4
rect	226 1034 272 1051	8660	IRS2
rect	69 990 115 1007	3479	IGF1
rect	139 990 185 1007	3480	IGF1R
rect	634 472 680 489	2308	FOXO1
rect	634 472 680 489	2309	FOXO3
rect	139 849 185 866	6517	SLC2A4
rect	332 454 378 471	6794	STK11
