shape	coords	gid	sym.path.compounds.map
circle	473 321 4	NA	C00076
circle	635 329 4	NA	C00076
circle	558 453 4	NA	C00076
circle	675 162 4	NA	C00076
circle	689 267 4	NA	C01330
rect	189 205 235 222	6444	SGCD
rect	492 317 538 334	10368	CACNG3
rect	492 317 538 334	10369	CACNG2
rect	492 317 538 334	27091	CACNG5
rect	492 317 538 334	27092	CACNG4
rect	492 317 538 334	55799	CACNA2D3
rect	492 317 538 334	59283	CACNG8
rect	492 317 538 334	59284	CACNG7
rect	492 317 538 334	59285	CACNG6
rect	492 317 538 334	775	CACNA1C
rect	492 317 538 334	776	CACNA1D
rect	492 317 538 334	778	CACNA1F
rect	492 317 538 334	779	CACNA1S
rect	492 317 538 334	781	CACNA2D1
rect	492 317 538 334	782	CACNB1
rect	492 317 538 334	783	CACNB2
rect	492 317 538 334	784	CACNB3
rect	492 317 538 334	785	CACNB4
rect	492 317 538 334	786	CACNG1
rect	492 317 538 334	9254	CACNA2D2
rect	492 317 538 334	93589	CACNA2D4
rect	567 318 613 335	6262	RYR2
rect	669 354 715 371	488	ATP2A2
rect	659 204 705 221	6546	SLC8A1
rect	235 205 281 222	6445	SGCG
rect	326 205 372 222	6443	SGCB
rect	280 205 326 222	6442	SGCA
rect	370 158 416 175	1605	DAG1
rect	371 205 417 222	1605	DAG1
rect	371 119 417 136	3908	LAMA2
rect	218 561 264 578	2010	EMD
rect	273 577 319 594	4000	LMNA
rect	325 285 371 302	1756	DMD
rect	811 483 857 500	1824	DSC2
rect	896 484 942 501	1824	DSC2
rect	811 521 857 538	1829	DSG2
rect	896 521 942 538	1829	DSG2
rect	811 557 857 574	1824	DSC2
rect	896 558 942 575	1829	DSG2
rect	812 593 858 610	1829	DSG2
rect	896 593 942 610	1824	DSC2
rect	942 511 988 528	3728	JUP
rect	942 533 988 550	5318	PKP2
rect	942 550 988 567	3728	JUP
rect	942 583 988 600	5318	PKP2
rect	765 475 811 492	5318	PKP2
rect	765 492 811 509	3728	JUP
rect	765 509 811 526	5318	PKP2
rect	765 534 811 551	3728	JUP
rect	765 551 811 568	5318	PKP2
rect	765 568 811 585	3728	JUP
rect	942 473 988 490	3728	JUP
rect	942 494 988 511	5318	PKP2
rect	988 503 1034 520	1832	DSP
rect	988 541 1034 558	1832	DSP
rect	988 591 1034 608	1832	DSP
rect	719 501 765 518	1832	DSP
rect	719 543 765 560	1832	DSP
rect	719 577 765 594	1832	DSP
rect	78 204 124 221	22801	ITGA11
rect	78 204 124 221	3655	ITGA6
rect	78 204 124 221	3672	ITGA1
rect	78 204 124 221	3673	ITGA2
rect	78 204 124 221	3674	ITGA2B
rect	78 204 124 221	3675	ITGA3
rect	78 204 124 221	3676	ITGA4
rect	78 204 124 221	3678	ITGA5
rect	78 204 124 221	3679	ITGA7
rect	78 204 124 221	3680	ITGA9
rect	78 204 124 221	3685	ITGAV
rect	78 204 124 221	8515	ITGA10
rect	78 204 124 221	8516	ITGA8
rect	124 204 170 221	3688	ITGB1
rect	124 204 170 221	3690	ITGB3
rect	124 204 170 221	3691	ITGB4
rect	124 204 170 221	3693	ITGB5
rect	124 204 170 221	3694	ITGB6
rect	124 204 170 221	3695	ITGB7
rect	124 204 170 221	3696	ITGB8
rect	136 314 182 331	60	ACTB
rect	136 314 182 331	71	ACTG1
rect	356 503 402 520	1674	DES
rect	811 413 857 430	1000	CDH2
rect	895 413 941 430	1000	CDH2
rect	941 413 987 430	3728	JUP
rect	987 413 1033 430	1495	CTNNA1
rect	987 413 1033 430	1496	CTNNA2
rect	987 413 1033 430	29119	CTNNA3
rect	1033 413 1079 430	81	ACTN4
rect	1033 413 1079 430	87	ACTN1
rect	1033 413 1079 430	88	ACTN2
rect	1033 413 1079 430	89	ACTN3
rect	765 413 811 430	3728	JUP
rect	719 413 765 430	1495	CTNNA1
rect	719 413 765 430	1496	CTNNA2
rect	719 413 765 430	29119	CTNNA3
rect	1060 482 1106 499	1674	DES
rect	306 625 352 642	51176	LEF1
rect	306 625 352 642	6932	TCF7
rect	306 625 352 642	6934	TCF7L2
rect	306 625 352 642	83439	TCF7L1
rect	477 579 523 596	1499	CTNNB1
rect	1101 401 1147 418	60	ACTB
rect	1101 401 1147 418	71	ACTG1
rect	810 704 856 721	2697	GJA1
rect	895 704 941 721	2697	GJA1
rect	810 744 856 761	2697	GJA1
rect	895 744 941 761	2697	GJA1
rect	40 45 549 70	NA	hsa05412
rect	185 492 303 526	NA	hsa04260
rect	231 129 349 163	NA	hsa04512
rect	958 681 1076 706	NA	hsa04540
rect	186 676 304 710	NA	hsa04310
