shape	coords	gid	sym.path.compounds.map
circle	113 607 4	NA	C00031
circle	310 607 4	NA	C00668
circle	784 607 4	NA	C00022
circle	231 607 4	NA	C00031
circle	997 548 4	NA	C00158
circle	1076 500 4	NA	C00311
circle	1150 530 4	NA	C00026
circle	1171 585 4	NA	C00042
circle	1154 646 4	NA	C00122
circle	1086 687 4	NA	C00149
circle	1008 653 4	NA	C00036
circle	381 607 4	NA	C00085
circle	698 607 4	NA	C00074
circle	551 607 4	NA	C00197
circle	621 607 4	NA	C00631
circle	482 607 4	NA	C00354
circle	947 608 4	NA	C00024
circle	441 182 4	NA	C00575
circle	309 406 4	NA	C00103
circle	524 406 4	NA	C00182
circle	426 260 4	NA	C01245
circle	488 258 4	NA	C00076
circle	564 490 4	NA	C00665
circle	1086 756 4	NA	C00149
circle	1011 756 4	NA	C00036
circle	795 547 4	NA	C00158
circle	821 489 4	NA	C00024
circle	843 432 4	NA	C00083
circle	945 511 4	NA	C00040
circle	831 697 4	NA	C00186
rect	155 598 201 615	6513	SLC2A1
rect	155 598 201 615	6514	SLC2A2
rect	880 615 926 632	5160	PDHA1
rect	880 615 926 632	5161	PDHA2
rect	880 615 926 632	5162	PDHB
rect	720 624 766 641	5315	PKM
rect	242 626 288 643	2645	GCK
rect	404 624 450 641	5211	PFKL
rect	557 627 603 644	441531	PGAM4
rect	557 627 603 644	5223	PGAM1
rect	557 627 603 644	5224	PGAM2
rect	60 173 106 190	2641	GCG
rect	153 173 199 190	2642	GCGR
rect	247 173 293 190	2778	GNAS
rect	340 173 386 190	108	ADCY2
rect	567 173 613 190	5566	PRKACA
rect	567 173 613 190	5567	PRKACB
rect	567 173 613 190	5568	PRKACG
rect	414 376 460 393	2997	GYS1
rect	414 376 460 393	2998	GYS2
rect	414 419 460 436	5834	PYGB
rect	414 419 460 436	5836	PYGL
rect	414 419 460 436	5837	PYGM
rect	247 251 293 268	2776	GNAQ
rect	336 251 382 268	23236	PLCB1
rect	336 251 382 268	5330	PLCB2
rect	336 251 382 268	5331	PLCB3
rect	336 251 382 268	5332	PLCB4
rect	696 115 742 132	10488	CREB3
rect	696 115 742 132	1385	CREB1
rect	696 115 742 132	1386	ATF2
rect	696 115 742 132	148327	CREB3L4
rect	696 115 742 132	468	ATF4
