shape	coords	gid	sym.path.compounds.map
circle	589 830 4	NA	C06314
circle	530 702 4	NA	C05981
circle	75 460 4	NA	C00076
rect	379 323 425 340	4615	MYD88
rect	456 323 502 340	3654	IRAK1
rect	456 323 502 340	51135	IRAK4
rect	533 323 579 340	7189	TRAF6
rect	610 323 656 340	6885	MAP3K7
rect	610 340 656 357	10454	TAB1
rect	610 340 656 357	23118	TAB2
rect	816 323 862 340	1147	CHUK
rect	816 323 862 340	3551	IKBKB
rect	816 323 862 340	8517	IKBKG
rect	906 323 952 340	4792	NFKBIA
rect	906 323 952 340	4793	NFKBIB
rect	906 363 952 380	4790	NFKB1
rect	906 363 952 380	5970	RELA
rect	779 214 825 231	5594	MAPK1
rect	779 214 825 231	5595	MAPK3
rect	779 246 825 263	5599	MAPK8
rect	779 246 825 263	5601	MAPK9
rect	779 246 825 263	5602	MAPK10
rect	779 278 825 295	1432	MAPK14
rect	779 278 825 295	5600	MAPK11
rect	779 278 825 295	5603	MAPK13
rect	779 278 825 295	6300	MAPK12
rect	699 278 745 295	5606	MAP2K3
rect	699 278 745 295	5608	MAP2K6
rect	375 758 421 775	2770	GNAI1
rect	375 758 421 775	2771	GNAI2
rect	375 758 421 775	2773	GNAI3
rect	375 758 421 775	2775	GNAO1
rect	1144 353 1190 370	3592	IL12A
rect	1144 353 1190 370	3593	IL12B
rect	1144 373 1190 390	7124	TNF
rect	1144 451 1190 468	596	BCL2
rect	1144 451 1190 468	598	BCL2L1
rect	1144 471 1190 488	112401	BIRC8
rect	1144 471 1190 488	329	BIRC2
rect	1144 471 1190 488	330	BIRC3
rect	1144 471 1190 488	331	XIAP
rect	1144 471 1190 488	79444	BIRC7
rect	1144 237 1190 254	4843	NOS2
rect	1144 747 1190 764	3592	IL12A
rect	1144 747 1190 764	3593	IL12B
rect	342 169 388 186	3716	JAK1
rect	342 169 388 186	3717	JAK2
rect	601 169 647 186	6772	STAT1
rect	779 127 825 144	4261	CIITA
rect	1144 171 1190 188	345611	IRGM
rect	1144 126 1190 143	3108	HLA-DMA
rect	1144 126 1190 143	3109	HLA-DMB
rect	1144 126 1190 143	3111	HLA-DOA
rect	1144 126 1190 143	3112	HLA-DOB
rect	1144 126 1190 143	3113	HLA-DPA1
rect	1144 126 1190 143	3115	HLA-DPB1
rect	1144 126 1190 143	3117	HLA-DQA1
rect	1144 126 1190 143	3118	HLA-DQA2
rect	1144 126 1190 143	3119	HLA-DQB1
rect	1144 126 1190 143	3122	HLA-DRA
rect	1144 126 1190 143	3123	HLA-DRB1
rect	1144 126 1190 143	3125	HLA-DRB3
rect	1144 126 1190 143	3126	HLA-DRB4
rect	1144 126 1190 143	3127	HLA-DRB5
rect	465 822 511 839	240	ALOX5
rect	394 217 440 234	8651	SOCS1
rect	624 622 670 639	54205	CYCS
rect	602 922 648 939	6774	STAT3
rect	707 622 753 639	842	CASP9
rect	790 622 836 639	836	CASP3
rect	707 650 753 667	841	CASP8
rect	375 693 421 710	2770	GNAI1
rect	375 693 421 710	2771	GNAI2
rect	375 693 421 710	2773	GNAI3
rect	375 693 421 710	2775	GNAO1
rect	455 693 501 710	23533	PIK3R5
rect	455 693 501 710	5290	PIK3CA
rect	455 693 501 710	5291	PIK3CB
rect	455 693 501 710	5293	PIK3CD
rect	455 693 501 710	5294	PIK3CG
rect	455 693 501 710	5295	PIK3R1
rect	455 693 501 710	5296	PIK3R2
rect	455 693 501 710	8503	PIK3R3
rect	559 693 605 710	5170	PDPK1
rect	639 693 685 710	10000	AKT3
rect	639 693 685 710	207	AKT1
rect	639 693 685 710	208	AKT2
rect	303 372 349 389	3655	ITGA6
rect	303 372 349 389	3688	ITGB1
rect	165 405 211 422	10319	LAMC3
rect	165 405 211 422	22798	LAMB4
rect	165 405 211 422	284217	LAMA1
rect	165 405 211 422	3908	LAMA2
rect	165 405 211 422	3909	LAMA3
rect	165 405 211 422	3910	LAMA4
rect	165 405 211 422	3911	LAMA5
rect	165 405 211 422	3912	LAMB1
rect	165 405 211 422	3913	LAMB2
rect	165 405 211 422	3914	LAMB3
rect	165 405 211 422	3915	LAMC1
rect	165 405 211 422	3918	LAMC2
rect	257 281 303 298	23643	LY96
rect	303 293 349 310	7099	TLR4
rect	241 342 287 359	3303	HSPA1A
rect	241 342 287 359	3304	HSPA1B
rect	241 342 287 359	3305	HSPA1L
rect	241 342 287 359	3306	HSPA2
rect	241 342 287 359	3310	HSPA6
rect	241 342 287 359	3312	HSPA8
rect	303 323 349 340	7097	TLR2
rect	240 152 286 169	3458	IFNG
rect	303 152 349 169	3459	IFNGR1
rect	303 152 349 169	3460	IFNGR2
rect	303 758 349 775	1234	CCR5
rect	241 758 287 775	10105	PPIF
rect	241 735 287 752	959	CD40LG
rect	303 735 349 752	958	CD40
rect	740 693 786 710	572	BAD
rect	241 650 287 667	7124	TNF
rect	303 650 349 667	7132	TNFRSF1A
rect	676 586 722 603	596	BCL2
rect	676 586 722 603	598	BCL2L1
rect	748 586 794 603	112401	BIRC8
rect	748 586 794 603	329	BIRC2
rect	748 586 794 603	330	BIRC3
rect	748 586 794 603	331	XIAP
rect	748 586 794 603	79444	BIRC7
rect	303 556 349 573	3949	LDLR
rect	1144 996 1190 1013	3586	IL10
rect	1144 1017 1190 1034	7040	TGFB1
rect	1144 1017 1190 1034	7042	TGFB2
rect	1144 1017 1190 1034	7043	TGFB3
rect	303 904 349 921	3587	IL10RA
rect	303 904 349 921	3588	IL10RB
rect	241 904 287 921	3586	IL10
rect	342 921 388 938	3716	JAK1
rect	342 921 388 938	7297	TYK2
rect	851 619 943 644	NA	hsa04210
rect	410 148 563 173	NA	hsa04630
rect	873 219 1011 244	NA	hsa04010
rect	442 282 538 316	NA	hsa04620
rect	426 843 580 868	NA	hsa00590
rect	367 588 441 613	NA	hsa04144
rect	410 933 563 958	NA	hsa04630
rect	40 45 190 70	NA	hsa05145
