shape	coords	gid	sym.path.compounds.map
circle	125 637 4	NA	C00082
circle	197 637 4	NA	C00355
circle	266 637 4	NA	C03758
circle	405 593 4	NA	C03758
circle	384 531 4	NA	C01161
circle	428 530 4	NA	C00027
circle	125 272 4	NA	C00082
circle	197 272 4	NA	C00355
circle	266 272 4	NA	C03758
circle	408 234 4	NA	C03758
circle	387 185 4	NA	C01161
circle	427 186 4	NA	C00027
circle	567 571 4	NA	C03758
circle	526 328 4	NA	C03758
circle	569 260 4	NA	C03758
circle	526 638 4	NA	C03758
circle	865 628 4	NA	C00575
circle	125 993 4	NA	C00082
circle	197 993 4	NA	C00355
circle	266 993 4	NA	C03758
circle	405 949 4	NA	C03758
circle	385 886 4	NA	C01161
circle	427 885 4	NA	C00027
circle	526 1065 4	NA	C03758
circle	567 995 4	NA	C03758
circle	884 1069 4	NA	C00575
circle	275 770 4	NA	C00469
circle	594 533 4	NA	C00076
circle	594 487 4	NA	C00469
circle	842 979 4	NA	C00469
circle	700 957 4	NA	C00076
circle	594 703 4	NA	C00212
circle	591 728 4	NA	C00469
circle	595 913 4	NA	C00469
circle	255 1133 4	NA	C00469
circle	597 558 4	NA	C00025
circle	599 983 4	NA	C00025
rect	320 302 366 319	6570	SLC18A1
rect	320 302 366 319	6571	SLC18A2
rect	313 666 359 683	6570	SLC18A1
rect	313 666 359 683	6571	SLC18A2
rect	622 321 668 338	1812	DRD1
rect	504 251 550 268	6531	SLC6A3
rect	622 524 668 541	116443	GRIN3A
rect	622 524 668 541	116444	GRIN3B
rect	622 524 668 541	2902	GRIN1
rect	622 524 668 541	2903	GRIN2A
rect	622 524 668 541	2904	GRIN2B
rect	622 524 668 541	2905	GRIN2C
rect	622 524 668 541	2906	GRIN2D
rect	622 618 668 635	1812	DRD1
rect	411 556 457 573	4128	MAOA
rect	411 556 457 573	4129	MAOB
rect	504 562 550 579	6531	SLC6A3
rect	134 612 180 629	7054	TH
rect	203 612 249 629	1644	DDC
rect	134 250 180 267	7054	TH
rect	203 250 249 267	1644	DDC
rect	411 211 457 228	4128	MAOA
rect	411 211 457 228	4129	MAOB
rect	724 980 770 997	5499	PPP1CA
rect	724 980 770 997	5500	PPP1CB
rect	724 980 770 997	5501	PPP1CC
rect	707 618 753 635	2778	GNAS
